Team,SRS,Season,SRS_rank
1102,-30248497006970.93,1985,216.0
1103,-30248497006971.094,1985,218.0
1104,-30248497006950.984,1985,18.0
1106,-30248497006972.668,1985,233.0
1108,-30248497006959.766,1985,83.0
1109,-30248497006993.44,1985,282.0
1110,-30248497006972.363,1985,231.0
1111,-30248497006968.664,1985,199.0
1112,-30248497006953.402,1985,32.0
1113,-30248497006962.72,1985,125.0
1114,-30248497006965.594,1985,161.0
1116,-30248497006955.094,1985,39.0
1117,-30248497006967.777,1985,190.0
1119,-30248497006966.71,1985,179.0
1120,-30248497006953.207,1985,29.0
1121,-30248497006980.594,1985,275.0
1122,-30248497006973.914,1985,242.0
1123,-30248497006962.074,1985,115.0
1124,-30248497006965.92,1985,165.0
1126,-30248497006984.957,1985,279.0
1129,-30248497006964.188,1985,140.0
1130,-30248497006953.21,1985,30.0
1131,-30248497006964.938,1985,149.0
1132,-30248497006967.363,1985,183.0
1133,-30248497006957.727,1985,67.0
1134,-30248497006974.74,1985,252.0
1135,-30248497006971.59,1985,224.0
1137,-30248497006968.785,1985,200.0
1139,-30248497006963.348,1985,129.0
1140,-30248497006964.273,1985,141.0
1141,-30248497006968.637,1985,198.0
1143,-30248497006962.4,1985,121.0
1144,-30248497006979.145,1985,270.0
1145,-30248497006961.29,1985,106.0
1147,-30248497006978.85,1985,269.0
1149,-30248497006973.227,1985,236.0
1150,-30248497006972.51,1985,232.0
1151,-30248497006963.086,1985,126.0
1152,-30248497006964.57,1985,145.0
1153,-30248497006960.285,1985,90.0
1154,-30248497006966.43,1985,174.0
1155,-30248497006956.2,1985,53.0
1156,-30248497006961.973,1985,113.0
1159,-30248497006981.645,1985,277.0
1160,-30248497006964.91,1985,148.0
1161,-30248497006964.11,1985,137.0
1162,-30248497006970.07,1985,207.0
1163,-30248497006960.55,1985,95.0
1165,-30248497006966.133,1985,170.0
1166,-30248497006960.68,1985,96.0
1168,-30248497006964.48,1985,144.0
1171,-30248497006980.586,1985,274.0
1172,-30248497006966.7,1985,178.0
1173,-30248497006955.926,1985,48.0
1174,-30248497006974.535,1985,250.0
1175,-30248497006977.92,1985,265.0
1177,-30248497006952.344,1985,23.0
1178,-30248497006959.844,1985,85.0
1179,-30248497006965.184,1985,153.0
